KOD10;NEV
V3000;3k.mot.jármű-vezető sér. gyalogossal-állattal ütk.ben, nem közl.bales.
V3010;3k.mot.jármű-utas sér. gyalogossal-állattal ütk.ben, nem közl.baleset
V3020;3k.mot.jármű-külső utas sér. gyalogossal-állattal ütk.ben, nem közl.b.
V3030;3k.mot.jármű-k.m.n.utas sér. gyalogossal-állattal ütk.ben, nem közl.b.
V3040;3k.mot.jármű-utas sér. gyalogossal-állattal ütk.ben, fel-leszálláskor
V3050;3k.mot.jármű-vezető sérülése gyalogossal-állattal ütk.ben, közl.bales.
V3060;3k.mot.jármű-utasának sérülése gyalogossal-állattal ütk.ben, közl.bal.
V3070;3k.mot.jármű-külső utas sér. gyalogossal-állattal ütk.ben, közl.bales.
V3090;3k.mot.jármű-k.m.n.utas sér. gyalogossal-állattal ütk.ben, közl.bales.
V3100;3k.mot.jármű vezetőjének sérülése kerékpárral ütközésben, nem közl.bal
V3110;3k.mot.jármű utasának sérülése kerékpárral ütközésben, nem közl.bales.
V3120;3k.mot.jármű külső utasának sér. kerékpárral ütközésben, nem közl.bal.
V3130;3k.mot.jármű k.m.n. utasának sér. kerékpárral ütközésben, nem közl.bal
V3140;3k.mot.jármű utasának sérül. kerékpárral ütközésben, fel-leszálláskor
V3150;3k.mot.jármű vezetőjének sérülése kerékpárral ütközésben, közl.baleset
V3160;3k.mot.jármű utasának sérülése kerékpárral ütközésben, közl. baleset
V3170;3k.mot.jármű külső utasának sér. kerékpárral ütközésben, közl. baleset
V3190;3k.mot.jármű k.m.n. utasának sér. kerékpárral ütközésben, közl.baleset
V3200;3k.mot.jármű-vezető sér. 2-3kerekű mot.járművel ütk.ben, nem közl.bal.
V3210;3k.mot.jármű-utas sérülése 2-3k.mot.járművel ütk.ben, nem közl.baleset
V3220;3k.mot.jármű-külső utas sér. 2-3k.mot.járművel ütk.ben, nem közl.bales
V3230;3k.mot.jármű-k.m.n.utas sér. 2-3k.mot.járművel ütk.ben, nem közl.bales
V3240;3k.mot.jármű utasának sér. 2-3k.mot.járművel ütk.ben, fel-leszálláskor
V3250;3k.mot.jármű-vezető sérülése 2-3k.mot.járművel ütk.ben, közl. baleset
V3260;3k.mot.jármű-utas sérülése 2-3kerekű mot.járművel ütk.ben, közl.bales.
V3270;3k.mot.jármű-külső utas sérülése 2-3k.mot.járművel ütk.ben, közl.bales
V3290;3k.mot.jármű-k.m.n.utas sérülése 2-3k.mot.járművel ütk.ben, közl.bales
V3300;3k.mot.jármű-vezető sérülése autóval-teherautóval ütk.ben, nem közl.b.
V3310;3k.mot.jármű-utas sérülése autóval-teherautóval ütk.ben, nem közl.bal.
V3320;3k.mot.jármű-külső utas sér. autóval-teherautóval ütk.ben, nem közl.b.
V3330;3k.mot.jármű-utas sér. autóval-teherautóval ütk.ben, nem közl. baleset
V3340;3k.mot.jármű-utas sér. autóval-teherautóval ütk.ben, fel-leszálláskor
V3350;3k.mot.jármű-vezető sérülése autóval-teherautóval ütk.ben, közl.bales.
V3360;3k.mot.jármű-utas sérülése autóval-teherautóval ütk.ben, közl. baleset
V3370;3k.mot.jármű-külső utas sér. autóval-teherautóval ütk.ben, közl.bales.
V3390;3k.mot.jármű-k.m.n.utas sér. autóval-teherautóval ütk.ben, közl.bales.
V3400;3k.mot.jármű-vezető sér. nehézjárművel-busszal ütk.ben, nem közl.bales
V3410;3k.mot.jármű-utas sér. nehézjárművel-busszal ütk.ben, nem közl.baleset
V3420;3k.mot.jármű-külső utas sér. nehézjárművel-busszal ütk.ben, nem közl.b
V3430;3k.mot.jármű-k.m.n.utas sér. nehézjárművel-busszal ütk.ben, nem közl.b
V3440;3k.mot.jármű-utas sér. nehézjárművel-busszal ütk.ben, fel leszálláskor
V3450;3k.mot.jármű-vezető sér. nehézjárművel-busszal ütk.ben, közl. baleset
V3460;3k.mot.jármű-utas sérülése nehézjárművel-busszal ütk.ben, közl.baleset
V3470;3k.mot.jármű-külső utas sér. nehézjárművel-busszal ütk.ben, közl.bales
V3490;3k.mot.jármű-k.m.n.utas sér. nehézjárművel-busszal ütk.ben, közl.bales
V3500;3k.mot.jármű-vezető sér. személy-tehervonattal ütk.ben, nem közl.bales
V3510;3k.mot.jármű-utas sér. személy-tehervonattal ütk.ben, nem közl.baleset
V3520;3k.mot.jármű-külső utas sér. személy-tehervonattal ütk.ben, nem közl.b
V3530;3k.mot.jármű-k.m.n.utas sér. személy-tehervonattal ütk.ben, nem közl.b
V3540;3k.mot.jármű-utas sér. személy-tehervonattal ütk.ben, fel-leszálláskor
V3550;3k.mot.jármű-vezető sérülése személy-tehervonattal ütk.ben, közl.bales
V3560;3k.mot.jármű-utas sérülése személy-tehervonattal ütk.ben, közl.baleset
V3570;3k.mot.jármű-külső utas sér. személy-tehervonattal ütk.ben, közl.bales
V3590;3k.mot.jármű-k.m.n.utas sér. személy-tehervonattal ütk.ben, közl.bales
V3600;3k.mot.jármű-vezető sérülése nem mot.járművel ütk.ben, nem közl.bales.
V3610;3k.mot.jármű-utas sérülése nem mot.járművel ütk.ben, nem közl. baleset
V3620;3k.mot.jármű-külső utas sérülése nem mot.járművel ütk.ben, nem közl.b.
V3630;3k.mot.jármű-k.m.n.utas sérülése nem mot.járművel ütk.ben, nem közl.b.
V3640;3k.mot.jármű-utas sérülése nem mot.járművel ütk.ben, fel-leszálláskor
V3650;3k.mot.jármű-vezető sérülése nem mot.járművel ütk.ben, közl. baleset
V3660;3k.mot.jármű-utas sérülése nem motoros járművel ütk.ben, közl. baleset
V3670;3k.mot.jármű-külső utas sérülése nem mot.járművel ütk.ben, közl.bales.
V3690;3k.mot.jármű-k.m.n. utas sérülése nem mot.járművel ütk.ben, közl.bales
V3700;3k.mot.jármű-vezető sér. rögzített objektummal ütk.ben, nem közl.bales
V3710;3k.mot.jármű-utas sér. rögzített objektummal ütk.ben, nem közl.baleset
V3720;3k.mot.jármű-külső utas sér. rögzített objektummal ütk.ben, nem közl.b
V3730;3k.mot.jármű-k.m.n.utas sér. rögzített objektummal ütk.ben, nem közl.b
V3740;3k.mot.jármű-utas sér. rögzített objektummal ütk.ben, fel-leszálláskor
V3750;3k.mot.jármű-vezető sérülése rögzített objektummal ütk.ben, közl.bales
V3760;3k.mot.jármű-utas sérülése rögzített objektummal ütk.ben, közl.baleset
V3770;3k.mot.jármű-külső utas sér. rögzített objektummal ütk.ben, közl.bales
V3790;3k.mot.jármű-k.m.n.utas sér. rögzített objektummal ütk.ben, közl.bales
V3800;3k.mot.jármű vezetőjének sérülése nem közlekedési balesetben
V3810;3k.mot.jármű utasának sérülése nem közlekedési balesetben
V3820;3k.mot.jármű külső utasának sérülése nem közlekedési balesetben
V3830;3k.mot.jármű k.m.n. utasának sérülése nem közlekedési balesetben
V3840;3k.mot.jármű utasának sérülése fel- vagy leszállás során
V3850;3k.mot.jármű vezetőjének sérülése közlekedési balesetben
V3860;3k.mot.jármű utasának sérülése közlekedési balesetben
V3870;3k.mot.jármű külső utasának sérülése közlekedési balesetben
V3890;3k.mot.jármű k.m.n. utasának sérülése közlekedési balesetben
V3900;Vezető sérülése összeütk.ben k.m.n. mot.jármű nem közl. balesetében
V3910;Utas sérülése összeütk.ben k.m.n. motoros jármű nem közl. balesetében
V3920;Háromk.utasának sérülése összeütk.ben k.m.n. mot.jármű közl.bal.ben
V3930;Háromk.utasának sérülése összeü.ben k.m.n. mot.jármű nem közl.bal.ben
V3940;Vezető sérülése összeütk.ben k.m.n. mot.jármű közlekedési balesetében
V3950;Utas sérülése összeütk.ben k.m.n. mot.jármű közlekedési balesetében
V3960;Háromk.jármű utasának sérülése ö.ü.ben k.m.n. mot.jármű közl.bal.ben
V3980;Háromk.jármű utasának sérülése egyéb megjelölt szállítási balesetben
V3990;Háromkerekű jármű utasának sérülése k.m.n. közlekedési balesetben
V4000;Autó-vezető sérülése gyalogossal-állattal ütközésben, nem közl.baleset
V4010;Autó-utas sérülése gyalogossal-állattal ütközésben, nem közl. baleset
V4020;Autó-külső utas sérülése gyalogossal-állattal ütk.ben, nem közl.bales.
V4030;Autó-k.m.n.utas sérülése gyalogossal-állattal ütk.ben, nem közl.bales.
V4040;Autó utasának sérülése gyalogossal-állattal ütk.ben, fel-leszálláskor
V4050;Autó-vezető sérülése gyalogossal-állattal ütközésben, közl. baleset
V4060;Autó-utas sérülése gyalogossal-állattal ütközésben, közl. baleset
V4070;Autó-külső utas sérülése gyalogossal-állattal ütközésben, közl.baleset
V4090;Autó-k.m.n. utas sérülése gyalogossal-állattal ütközésben, közl.bales.
V4100;Autó vezetőjének sérülése kerékpárral ütközésben, nem közl. baleset
V4110;Autó utasának sérülése kerékpárral ütközésben, nem közl. baleset
V4120;Autó külső utasának sérülése kerékpárral ütközésben, nem közl. baleset
V4130;Autó k.m.n. utasának sérülése kerékpárral ütközésben, nem közl.baleset
V4140;Autó utasának sérülése kerékpárral ütközésben, fel-leszálláskor
V4150;Autó vezetőjének sérülése kerékpárral ütközésben, közl. baleset
V4160;Autó utasának sérülése kerékpárral ütközésben, közl. baleset
V4170;Autó külső utasának sérülése kerékpárral ütközésben, közl. baleset
V4190;Autó k.m.n. utasának sérülése kerékpárral ütközésben, közl. baleset
V4200;Autó vezetőjének sérülése 2-3 k.mot.járművel ütk.ben, nem közl.baleset
V4210;Autó utasának sérülése 2-3 k.mot.járművel ütközésben, nem közl.baleset
V4220;Autó külső utasának sérülése 2-3 k.mot.járművel ütk.ben, nem közl.bal.
V4230;Autó k.m.n. utasának sérülése 2-3 k.mot.járművel ütk.ben, nem közl.bal
V4240;Autó utasának sérülése 2-3 k.mot.járművel ütk.ben, fel-leszálláskor
V4250;Autó vezetőjének sérülése 2-3 k. mot. járművel ütk.ben, közl. baleset
V4260;Autó utasának sérülése 2-3 k. mot. járművel ütk.ben, közl. baleset
V4270;Autó külső utasának sérülése 2-3 k.mot.járművel ütk.ben, közl. baleset
V4290;Autó k.m.n. utasának sérülése 2-3 k.mot.járművel ütk.ben, közl.baleset
V4300;Autó vezetőjének sérülése autóval-teherautóval ütk.ben, nem közl.bales
V4310;Autó utasának sérülése autóval-teherautóval ütközésben, nem közl.bales
V4320;Autó külső utasának sér. autóval-teherautóval ütk.ben, nem közl.bales.
V4330;Autó k.m.n. utasának sér. autóval-teherautóval ütk.ben, nem közl.bales
V4340;Autó utasának sérülése autóval-teherautóval ütk.ben, fel-leszálláskor
V4350;Autó vezetőjének sérülése autóval-teherautóval ütközésben, közl.bales.
V4360;Autó utasának sérülése autóval-teherautóval ütközésben, közl. baleset
V4370;Autó külső utasának sérülése autóval-teherautóval ütk.ben, közl.bales.
V4390;Autó k.m.n. utasának sérülése autóval-teherautóval ütk.ben, közl.bales
V4400;Autó vezetőjének sérülése nehézjárművel-busszal ütk.ben, nem közl.bal.
V4410;Autó utasának sérülése nehézjárművel-busszal ütközésben, nem közl.bal.
V4420;Autó külső utasának sér. nehézjárművel-busszal ütk.ben, nem közl.bales
V4430;Autó k.m.n. utasának sér. nehézjárművel-busszal ütk.ben, nem közl.bal.
V4440;Autó utasának sér. nehézjárművel-busszal ütközésben, fel-leszálláskor
V4450;Autó vezetőjének sérülése nehézjárművel-busszal ütközésben, közl.bales
V4460;Autó utasának sérülése nehézjárművel-busszal ütközésben, közl. baleset
V4470;Autó külső utasának sér. nehézjárművel-busszal ütközésben, közl.bales.
V4490;Autó k.m.n. utasának sér. nehézjárművel-busszal ütközésben, közl.bales
V4500;Autó vezetőjének sérülése személy-tehervonattal ütk.ben, nem közl.bal.
V4510;Autó utasának sérülése személy-tehervonattal ütközésben, nem közl.bal.
V4520;Autó külső utasának sér. személy-tehervonattal ütk.ben, nem közl. bal.
V4530;Autó k.m.n. utasának sér. személy-tehervonattal ütk.ben, nem közl.bal.
V4540;Autó utasának sérülése személy-tehervonattal ütk.ben, fel-leszálláskor
V4550;Autó vezetőjének sérülése személy-tehervonattal ütk.ben, közl. baleset
V4560;Autó utasának sérülése személy-tehervonattal ütközésben, közl. baleset
V4570;Autó külső utasának sérülése személy-tehervonattal ütk.ben, közl.bales
V4590;Autó k.m.n. utasának sérülése személy-tehervonattal ütk.ben, közl.bal.
V4600;Autó vezetőjének sérülése nem mot.járművel ütközésben, nem közl.bales.
V4610;Autó utasának sérülése nem motoros járművel ütközésben, nem közl.bal.
V4620;Autó külső utasának sérülése nem mot.járművel ütk.ben, nem közl.bales.
V4630;Autó k.m.n. utasának sérülése nem mot.járművel ütk.ben, nem közl.bales
V4640;Autó utasának sérülése nem mot.járművel ütközésben, fel-leszálláskor
V4650;Autó vezetőjének sérülése nem mot. járművel ütközésben, közl. baleset
V4660;Autó utasának sérülése nem motoros járművel ütközésben, közl. baleset
V4670;Autó külső utasának sérülése nem mot.járművel ütközésben, közl.baleset
V4690;Autó k.m.n. utasának sérülése nem mot.járművel ütközésben, közl.bales.
V4700;Autó vezetőjének sérülése rögzített objektummal ütk.ben, nem közl.bal.
V4710;Autó utasának sérülése rögzített objektummal ütközésben, nem közl.bal.
V4720;Autó külső utasának sér. rögzített objektummal ütk.ben, nem közl.bal.
V4730;Autó k.m.n. utasának sér. rögzített objektummal ütk.ben, nem közl.bal.
V4740;Autó utasának sérülése rögzített objektummal ütk.ben, fel-leszálláskor
V4750;Autó vezetőjének sérülése rögzített objektummal ütközésben, közl.bales
V4760;Autó utasának sérülése rögzített objektummal ütközésben, közl. baleset
V4770;Autó külső utasának sérülése rögzített objektummal ütk.ben, közl.bal.
V4790;Autó k.m.n. utasának sérülése rögzített objektummal ütk.ben, közl.bal.
V4800;Autó vezetőjének sérülése összeütközés nélküli nem közl. balesetben
V4810;Autó utasának sérülése összeütközés nélküli nem közl. balesetben
V4820;Autó külső utasának sérülése összeütközés nélküli nem közl.balesetben
V4830;Autó k.m.n. utasának sérülése összeütközés nélküli nem közl.balesetben
V4840;Autó utasának sérülése összeütközés nélkül, fel-leszálláskor
V4850;Autó vezetőjének sérülése összeütközés nélküli közl. balesetben
V4860;Autó utasának sérülése összeütközés nélküli közl. balesetben
V4870;Autó külső utasának sérülése összeütközés nélküli közl. balesetben
V4890;Autó k.m.n. utasának sérülése összeütközés nélküli közl. balesetben
V4900;Vezető sérülése összeütk.ben k.m.n. mot.jármű nem-közl. balesetében
V4910;Utas sérülése összeütk.ben k.m.n. mot.jármű nem-közl. balesetében
V4920;Autó utasának sérülése összeütk.ben k.m.n. mot.jármű nem-közl.bal.ben
V4930;Autó utasának sérülése összeütk.ben k.m.n. mot.jármű nem-közl.bal.ben
V4940;Vezető sérülése összeütk.ben k.m.n. motoros jármű közl. balesetében
V4950;Utas sérülése összeütk.ben k.m.n. motoros jármű közl. balesetében
V4960;Autó utasának sérülése összeütk.ben k.m.n. mot.jármű közl.balesetében
V4980;Autó bármely utasának sérülése egyéb megjelölt szállítási balesetben
V4990;Autó bármely utasának sérülése k.m.n. közlekedési balesetben
V5000;Teherautó-vezető sérülése gyalogossal-állattal ütk.ben, nem közl.bales
V5010;Teherautó-utas sérülése gyalogossal-állattal ütközésben, nem közl.bal.
V5020;Teherautó-külső utas sér. gyalogossal-állattal ütk.ben, nem közl.bales
V5030;Teherautó-k.m.n.utas sér. gyalogossal-állattal ütk.ben, nem közl.bales
V5040;Teherautó-utas sérülése gyalogossal-állattal ütk.ben, fel-leszálláskor
V5050;Teherautó-vezető sérülése gyalogossal-állattal ütközésben, közl.bales.
V5060;Teherautó-utas sérülése gyalogossal-állattal ütközésben, közl. baleset
V5070;Teherautó-külső utas sérülése gyalogossal-állattal ütk.ben, közl.bales
V5090;Teherautó-k.m.n.utas sérülése gyalogossal-állattal ütk.ben, közl.bales
V5100;Teherautó-veztő sérülése kerékpárral ütközésben, nem közl. baleset
V5110;Teherautó-utas sérülése kerékpárral ütközésben, nem közl. baleset
V5120;Teherautó-külső utas sérülése kerékpárral ütközésben, nem közl.baleset
V5130;Teherautó-k.m.n.utas sérülése kerékpárral ütközésben, nem közl.baleset
V5140;Teherautó utasának sérülése kerékpárral ütközésben, fel-leszálláskor
V5150;Teherautó-vezető sérülése kerékpárral ütközésben, közl. baleset
V5160;Teherautó-utas sérülése kerékpárral ütközésben, közl. baleset
V5170;Teherautó-külső utas sérülése kerékpárral ütközésben, közl. baleset
V5190;Teherautó-k.m.n. utas sérülése kerékpárral ütközésben, közl. baleset
V5200;Teherautó-vezető sérülése 2-3 k.mot.járművel ütközésben, nem közl.bal.
V5210;Teherautó-utas sérülése 2-3 k.mot.járművel ütközésben, nem közl.bales.
V5220;Teherautó-külső utas sérülése 2-3 k.mot.járművel ütk.ben, nem közl.bal
V5230;Teherautó-k.m.n.utas sérülése 2-3-k.mot.járművel ütk.ben, nem közl.bal
V5240;Teherautó-utas sérülése 2-3 k.mot.járművel ütk.ben, fel-leszálláskor
V5250;Teherautó-vezető sérülése 2-3 k.mot.járművel ütközésben, közl. baleset
V5260;Teherautó-utas sérülése 2-3 k. mot. járművel ütközésben, közl. baleset
V5270;Teherautó-külső utas sérülése 2-3 k.mot.járművel ütközésben, közl.bal.
V5290;Teherautó-k.m.n.utas sérülése 2-3 k.mot.járművel ütközésben, közl.bal.
V5300;Teherautó-vezető sérülése autóval-teherautóval ütk.ben, nem közl.bales
V5310;Teherautó-utas sérülése autóval-teherautóval ütközésben, nem közl.bal.
V5320;Teherautó-külső utas sér. autóval-teherautóval ütk.ben, nem közl.bales
V5330;Teherautó-k.m.n.utas sér. autóval-teherautóval ütk.ben, nem közl.bales
V5340;Teherautó-utas sérülése autóval-teherautóval ütk.ben, fel-leszálláskor
V5350;Teherautó-vezető sérülése autóval-teherautóval ütközésben, közl.bales.
V5360;Teherautó-utas sérülése autóval-teherautóval ütközésben, közl. baleset
V5370;Teherautó-külső utas sérülése autóval-teherautóval ütk.ben, közl.bales
V5390;Teherautó-k.m.n.utas sérülése autóval-teherautóval ütk.ben, közl.bales
V5400;Teherautó-vezető sérülése nehézjárművel-busszal ütk.ben, nem közl.bal.
V5410;Teherautó-utas sérülése nehézjárművel-busszal ütk.ben, nem közl.bales.
V5420;Teherautó-külső utas sér. nehézjárművel-busszal ütk.ben, nem közl.bal.
V5430;Teherautó-k.m.n.utas sér. nehézjárművel-busszal ütk.ben, nem közl.bal.
V5440;Teherautó-utas sér. nehézjárművel-busszal ütközésben, fel-leszálláskor
V5450;Teherautó-vezető sérülése nehézjárművel-busszal ütk.ben, közl. baleset
V5460;Teherautó-utas sérülése nehézjárművel-busszal ütközésben, közl.baleset
V5470;Teherautó-külső utas sér. nehézjárművel-busszal ütközésben, közl.bales
V5490;Teherautó-k.m.n.utas sér. nehézjárművel-busszal ütközésben, közl.bales
V5500;Teherautó-vezető sérülése személy-tehervonattal ütk.ben, nem közl.bal.
V5510;Teherautó-utas sérülése személy-tehervonattal ütközésben,nem közl.bal.
V5520;Teherautó-külső utas sér. személy-tehervonattal ütk.ben, nem.közl.bal.
V5530;Teherautó-k.m.n.utas sér. személy-tehervonattal ütk.ben, nem közl.bal.
V5540;Teherautó-utas sérülése személy-tehervonattal ütk.ben,fel-leszálláskor
V5550;Teherautó-vezető sérülése személy-tehervonattal ütk.ben, közl. baleset
V5560;Teherautó-utas sérülése személy-tehervonattal ütközésben, közl.baleset
V5570;Teherautó-külső utas sér. személy-tehervonattal ütközésben, közl.bales
V5590;Teherautó-k.m.n.utas sér. személy-tehervonattal ütközésben, közl.bales
V5600;Teherautó-vezető sérülése nem mot.járművel ütközésben, nem közl.bales.
V5610;Teherautó-utas sérülése nem mot. járművel ütközésben, nem közl.baleset
V5620;Teherautó-külső utas sérülése nem mot.járművel ütk.ben, nem közl.bales
V5630;Teherautó-k.m.n.utas sérülése nem mot.járművel ütk.ben, nem közl.bales
V5640;Teherautó-utas sérülése nem mot. járművel ütközésben, fel-leszálláskor
V5650;Teherautó-vezető sérülése nem mot. járművel ütközésben, közl. baleset
V5660;Teherautó-utas sérülése nem mot. járművel ütközésben, közl. baleset
V5670;Teherautó-külső utas sérülése nem mot.járművel ütközésben, közl.bales.
V5690;Teherautó-k.m.n.utas sérülése nem mot.járművel ütközésben, közl.bales.
V5700;Teherautó-vezető sérülése rögzített objektummal ütk.ben, nem közl.bal.
V5710;Teherautó-utas sérülése rögzített objektummal ütk.ben, nem közl.bales.
V5720;Teherautó-külső utas sér. rögzített objektummal ütk.ben, nem közl.bal.
V5730;Teherautó-k.m.n.utas sér. rögzített objektummal ütk.ben, nem közl.bal.
V5740;Teherautó-utas sérül. rögzített objektummal ütk.ben, fel-leszálláskor
V5750;Teherautó-vezető sérülése rögzített objektummal ütk.ben, közl. baleset
V5760;Teherautó-utas sérülése rögzített objektummal ütközésben, közl.baleset
V5770;Teherautó-külső utas sérülése rögzített objektummal ütk.ben, közl.bal.
V5790;Teherautó-k.m.n.utas sérülése rögzített objektummal ütk.ben, közl.bal.
V5800;Teherautó-vezető sér. összeütk.nélküli szállitási nem közl. balesetben
V5810;Teherautó-utas sér. összeütk. nélküli szállitási nem közl. balesetben
V5820;Teherautó-külső utas sér. összeütk.nélküli száll. nem közl. balesetben
V5830;Teherautó-k.m.n.utas sér. összeütk.nélküli száll. nem közl. balesetben
V5840;Teherautó-utas sér. összeütk.nélküli száll.bales.ben, fel-leszálláskor
V5850;Teherautó-vezető sérülése összeütk.nélküli szállitási közl. balesetben
V5860;Teherautó-utas sérülése összeütk. nélküli szállitási közl. balesetben
V5870;Teherautó-külső utas sérülése összeütk.nélküli száll. közl. balesetben
V5890;Teherautó-k.m.n.utas sérülése összeütk.nélküli száll. közl. balesetben
V5900;Vezető sérülése összeütk.ben k.m.n. mot. jármű nem-közl. balesetében
V5910;Utas sérülése összeütk.ben k.m.n. mot. jármű nem-közl. balesetében
V5920;T.autó k.m.n.utas sér. összeütk.ben k.m.n. mot.jármű nem-közl.bal.ben
V5930;T.autó bármely utas sér. összeütk.ben k.m.n.mot.jármű nem-közl.bal.ben
V5940;Vezető sérülése összeütk.ben k.m.n. mot.jármű közlekedési balesetében
V5950;Utas sérülése összeütk.ben k.m.n. mot.jármű közlekedési balesetében
V5960;Teherautó utas sérülése összeütk.ben k.m.n. mot.jármű közl. bal.ben
V5980;Teherautó utasának sérülése egyéb megjelölt szállítási balesetben
V5990;Teherautó utasának sérülése k.m.n. közlekedési balesetben
V6000;Nehéz sz.jármű-vezető sér. gyalogossal-állattal ütk.ben, nem közl.bal.
V6010;Nehéz sz.jármű-utas sér. gyalogossal-állattal ütk.ben, nem közl.bales.
V6020;Nehéz sz.jármű-külső utas sér. gyalogossal-állattal ütk.ben, nem közl.
V6030;Nehéz sz.jármű-k.m.n.utas sér. gyalogossal-állattal ütk.ben, nme közl.
V6040;Nehéz sz.jármű-utas sér.gyalogossal-állattal ütk.ben, fel-leszálláskor
V6050;Nehéz sz.jármű-vezető sér. gyalogossal-állattal ütk.ben, közl.baleset
V6060;Nehéz sz.jármű-utas sérülése gyalogossal-állattal ütk.ben, közl.bales.
V6070;Nehéz sz.jármű-külső utas sér. gyalogossal-állattal ütk.ben, közl.bal.
V6090;Nehéz sz.jármű-k.m.n.utas sér. gyalogossal-állattal ütk.ben, közl.bal.
V6100;Nehéz száll.jármű-vezető sérülése kerékpárral ütk.ben, nem közl.bales.
V6110;Nehéz száll.jármű-utas sérülése kerékpárral ütközésben, nem közl.bales
V6120;Nehéz száll.jármű-külső utas sér. kerékpárral ütk.ben, nem közl.bales.
V6130;Nehéz száll.jármű-k.m.n. utas sér. kerékpárral ütk.ben, nem közl.bales
V6140;Nehéz száll.jármű-utas sér. kerékpárral ütközésben, fel-leszálláskor
V6150;Nehéz száll.jármű-vezető sérülése kerékpárral ütközésben, közl.baleset
V6160;Nehéz száll.jármű-utas sérülése kerékpárral ütközésben, közl. baleset
V6170;Nehéz száll.jármű-külső utas sérülése kerékpárral ütközésben, közl.bal
V6190;Nehéz száll.jármű-k.m.n.utas sérülése kerékpárral ütközésben, közl.bal
V6200;Nehéz sz.jármű-vezető sér. 2-3 k.mot.járművel ütközésben, nem közl.bal
V6210;Nehéz sz.jármű-utas sérül. 2-3 k.mot.járművel ütközésben, nem közl.bal
V6220;Nehéz sz.jármű-külső utas sér. 2-3 k.mot.járművel ütk.ben, nem közl.b.
V6230;Nehéz sz.jármű-k.m.n.utas sér. 2-3 k.mot.járművel ütk.ben, nem közl.b.
V6240;Nehéz sz.jármű-utas sér. 2-3 k.mot.járművel ütk.ben, fel-leszálláskor
V6250;Nehéz sz.jármű-vezető sér. 2-3 k.mot.járművel ütközésben, közl.baleset
V6260;Nehéz sz.jármű-utas sér. 2-3 k.mot.járművel ütközésben, közl. baleset
V6270;Nehéz sz.jármű-külső utas sér. 2-3 k.mot.járművel ütk.ben, közl.bales.
V6290;Nehéz sz.jármű-k.m.n.utas sér. 2-3 k.mot.járművel ütk.ben, közl.bales.
V6300;Nehéz sz.jármű-vezető sér. autóval-teherautóval ütk.ben, nem közl.bal.
V6310;Nehéz sz.jármű-utas sér. autóval-teherautóval ütk.ben, nem közl.bales.
V6320;Nehéz sz.jármű-külső utas sér. autóval-teherautóval ütk.ben, nem közl.
V6330;Nehéz sz.jármű-k.m.n.utas sér. autóval-teherautóval ütk.ben, nem közl.
V6340;Nehéz sz.jármű-utas sér. autóval-teherautóval ütk.ben,fel-leszálláskor
V6350;Nehéz sz.jármű-vezető sér. autóval-teherautóval ütk.ben, közl. baleset
V6360;Nehéz sz.jármű-utas sér. autóval-teherautóval összeütk.ben, közl.bales
V6370;Nehéz sz.jármű-külső utas sér. autóval-teherautóval ütk.ben, közl.bal.
V6390;Nehéz sz.jármű-k.m.n.utas sér. autóval-teherautóval ütk.ben, közl.bal.
V6400;Nehéz sz.jármű-vezető sér. nehézjárművel-busszal ütk.ben, nem közl.bal
V6410;Nehéz sz.jármű-utas sér. nehézjárművel-busszal ütk.ben, nem közl.bales
V6420;Nehéz sz.jármű-külső utas sér. nehézjárművel-busszal ütk.ben, nem közl
V6430;Nehéz sz.jármű-k.m.n.utas sér. nehézjárművel-busszal ütk.ben, nem közl
V6440;Nehéz sz.jármű-utas sér.nehézjárművel-busszal ütk.ben,fel-leszálláskor
V6450;Nehéz sz.jármű-vezető sér. nehézjárművel-busszal ütk.ben, közl.baleset
V6460;Nehéz sz.jármű-utas sér. nehézjárművel-busszal ütk.ben, közl. baleset
V6470;Nehéz sz.jármű-külső utas sér. nehézjárművel-busszal ütk.ben, közl.bal
V6490;Nehéz sz.jármű-k.m.n.utas sér. nehézjárművel-busszal ütk.ben, közl.bal
V6500;Nehéz sz.jármű-vezető sér. személy-tehervonattal ütk.ben, nem közl.bal
V6510;Nehéz sz.jármű-utas sér. személy-tehervonattal ütk.ben, nem közl.bales
V6520;Nehéz sz.jármű-kölső utas sér. személy-tehervonattal ütk.ben, nem közl
V6530;Nehéz sz.jármű-k.m.n.utas sér. személy-tehervonattal ütk.ben, nem közl
V6540;Nehéz sz.jármű-utas sér.személy-tehervonattal ütk.ben,fel-leszálláskor
V6550;Nehéz sz.járművezető sér. személy-tehervonattal ütközésben, közl.bales
V6560;Nehéz sz.jármű-utas sér. személy-tehervonattal ütközésben, közl.bales.
V6570;Nehéz sz.jármű-külső utas sér. személy-tehervonattal ütk.ben, közl.bal
V6590;Nehéz sz.jármű-k.m.n.utas sér. személy-tehervonattal ütk.ben, közl.bal
V6600;Nehéz sz.jármű-vezető sér. nem mot.járművel ütközésben, nem közl.bales
V6610;Nehéz sz.jármű-utas sérülése nem mot.járművel ütközésben, nem közl.bal
V6620;Nehéz sz.jármű-külső utas sér. nem mot.járművel ütk.ben, nem közl.bal.
V6630;Nehéz sz.jármű-k.m.n.utas sér. nem mot.járművel ütk.ben, nem közl.bal.
V6640;Nehéz sz.jármű-utas sérül. nem mot.járművel ütk.ben, fel-leszálláskor
